cameraID,imageName,objectID,Class
c001,000001.jpg,1,Crosswalk
c002,000002.jpg,2,Crosswalk
c002,000003.jpg,3,Container
c003,000004.jpg,4,Container
c003,000005.jpg,5,TrafficSign
c004,000006.jpg,6,Crosswalk
c002,000007.jpg,7,Crosswalk
c003,000008.jpg,8,TrafficSign
c004,000009.jpg,9,Container
c003,000010.jpg,10,TrafficSign
c003,000011.jpg,11,TrafficSign
c001,000012.jpg,12,TrafficSign
c001,000013.jpg,13,Crosswalk
c002,000014.jpg,14,Crosswalk
c003,000015.jpg,15,TrafficSign
c002,000016.jpg,16,TrafficSign
c004,000017.jpg,17,Container
c001,000018.jpg,18,RubbishBins
c003,000019.jpg,19,RubbishBins
c002,000020.jpg,20,TrafficSign
c002,000021.jpg,21,TrafficSign
c003,000022.jpg,3,Container
c004,000023.jpg,22,Container
c003,000024.jpg,23,Container
c002,000025.jpg,24,TrafficSign
c001,000026.jpg,25,Crosswalk
c001,000027.jpg,26,TrafficSign
c002,000028.jpg,27,Container
c001,000029.jpg,28,Crosswalk
c003,000030.jpg,29,TrafficSign
c003,000031.jpg,30,TrafficSign
c003,000032.jpg,31,Crosswalk
c004,000033.jpg,32,Container
c003,000034.jpg,33,TrafficSign
c001,000035.jpg,34,TrafficSign
c003,000036.jpg,35,TrafficSign
c001,000037.jpg,36,RubbishBins
c001,000038.jpg,3,Container
c003,000039.jpg,37,TrafficSign
c002,000040.jpg,36,RubbishBins
c002,000041.jpg,38,RubbishBins
c003,000042.jpg,39,TrafficSign
c002,000043.jpg,19,RubbishBins
c001,000044.jpg,40,Container
c002,000045.jpg,41,Container
c003,000046.jpg,41,Container
c003,000047.jpg,42,Container
c004,000048.jpg,43,Container
c003,000049.jpg,44,TrafficSign
c003,000050.jpg,45,TrafficSign
c003,000051.jpg,6,Crosswalk
c004,000052.jpg,46,Container
c002,000053.jpg,31,Crosswalk
c002,000054.jpg,47,TrafficSign
c003,000055.jpg,48,TrafficSign
c003,000056.jpg,49,TrafficSign
c001,000057.jpg,50,Container
c001,000058.jpg,3,Container
c003,000059.jpg,51,TrafficSign
c001,000060.jpg,26,TrafficSign
c003,000061.jpg,52,RubbishBins
c004,000062.jpg,53,Crosswalk
