cameraID,imageName,Class
c004,000001.jpg,trafficsignal
c004,000002.jpg,Container
c004,000003.jpg,trafficsignal
c004,000004.jpg,trafficsignal
c004,000005.jpg,trafficsignal
c004,000006.jpg,Container
c004,000007.jpg,trafficsignal
c004,000008.jpg,trafficsignal
c004,000009.jpg,trafficsignal
c004,000010.jpg,trafficsignal
c004,000011.jpg,Crosswalk
c004,000012.jpg,trafficsignal
c004,000013.jpg,trafficsignal
c004,000014.jpg,Crosswalk
c004,000015.jpg,trafficsignal
c004,000016.jpg,RubbishBins
c004,000017.jpg,trafficsignal
c004,000018.jpg,Crosswalk
c004,000019.jpg,Container
c004,000020.jpg,RubbishBins
c004,000021.jpg,trafficsignal
c004,000022.jpg,trafficsignal
c004,000023.jpg,trafficsignal
c004,000024.jpg,Container
c004,000025.jpg,trafficsignal
c004,000026.jpg,Crosswalk
c004,000027.jpg,trafficsignal
c004,000028.jpg,trafficsignal
c004,000029.jpg,Crosswalk
c004,000030.jpg,trafficsignal
c004,000031.jpg,trafficsignal
c004,000032.jpg,RubbishBins
c004,000033.jpg,Crosswalk
c004,000034.jpg,trafficsignal
c004,000035.jpg,Container
c004,000036.jpg,trafficsignal
c004,000037.jpg,trafficsignal
c004,000038.jpg,Container
c004,000039.jpg,trafficsignal
c004,000040.jpg,Container
c004,000041.jpg,Crosswalk
c004,000042.jpg,trafficsignal
c004,000043.jpg,trafficsignal
c004,000044.jpg,trafficsignal
c004,000045.jpg,trafficsignal
c004,000046.jpg,trafficsignal
c004,000047.jpg,Crosswalk
c004,000048.jpg,trafficsignal
c004,000049.jpg,Container
c004,000050.jpg,trafficsignal
c004,000051.jpg,trafficsignal
c004,000052.jpg,Container
c004,000053.jpg,trafficsignal
c004,000054.jpg,RubbishBins
c004,000055.jpg,Container
c004,000056.jpg,Container
c004,000057.jpg,trafficsignal
c004,000058.jpg,Crosswalk
c004,000059.jpg,Crosswalk
c004,000060.jpg,trafficsignal
c004,000061.jpg,Crosswalk
c004,000062.jpg,trafficsignal
c004,000063.jpg,trafficsignal
c004,000064.jpg,Crosswalk
c004,000065.jpg,trafficsignal
c004,000066.jpg,trafficsignal
c004,000067.jpg,Container
c004,000068.jpg,trafficsignal
c004,000069.jpg,trafficsignal
c004,000070.jpg,RubbishBins
c004,000071.jpg,Container
c004,000072.jpg,Crosswalk
c004,000073.jpg,Container
c004,000074.jpg,Container
c004,000075.jpg,trafficsignal
c004,000076.jpg,Container
c004,000077.jpg,trafficsignal
c004,000078.jpg,trafficsignal
c004,000079.jpg,trafficsignal
c004,000080.jpg,Crosswalk
c004,000081.jpg,trafficsignal
