cameraID,imageName,Corresponding Indexes
c001,000001.jpg,0680
c001,000002.jpg,0164
c001,000003.jpg,0218
c001,000004.jpg,0160
c001,000005.jpg,0684
c003,000006.jpg,1036
c003,000007.jpg,0659
c002,000008.jpg,0569
c001,000009.jpg,1055
c003,000010.jpg,0334
c001,000011.jpg,0934
c003,000012.jpg,0195
c002,000013.jpg,0548
c001,000014.jpg,0390
c003,000015.jpg,0381
c003,000016.jpg,0847
c002,000017.jpg,0987
c001,000018.jpg,0165
c003,000019.jpg,0988
c003,000020.jpg,0585
c003,000021.jpg,0828
c002,000022.jpg,0292
c001,000023.jpg,0431
c003,000024.jpg,0318
c002,000025.jpg,0074
c003,000026.jpg,0526
c003,000027.jpg,0767
c001,000028.jpg,0641
c003,000029.jpg,0416
c002,000030.jpg,0212
c001,000031.jpg,0562
c001,000032.jpg,0890
c003,000033.jpg,0590
c002,000034.jpg,0044
c001,000035.jpg,0074
c001,000036.jpg,0118
c002,000037.jpg,0889
c002,000038.jpg,0590
c002,000039.jpg,0825
c001,000040.jpg,0255
c001,000041.jpg,0092
c003,000042.jpg,0343
c001,000043.jpg,0288
c001,000044.jpg,0424
c002,000045.jpg,1090
c003,000046.jpg,0063
c003,000047.jpg,0810
c003,000048.jpg,0761
c001,000049.jpg,0272
c001,000050.jpg,0075
c002,000051.jpg,0307
c002,000052.jpg,0735
c003,000053.jpg,0955
c003,000054.jpg,0077
c001,000055.jpg,0207
c001,000056.jpg,0816
c003,000057.jpg,0386
c002,000058.jpg,0740
c003,000059.jpg,0220
c001,000060.jpg,0034
c003,000061.jpg,0127
c001,000062.jpg,0586
c001,000063.jpg,0730
c003,000064.jpg,0125
c001,000065.jpg,0065
c003,000066.jpg,0642
c002,000067.jpg,1046
c001,000068.jpg,0800
c002,000069.jpg,0770
c003,000070.jpg,0532
c003,000071.jpg,0018
c003,000072.jpg,0166
c001,000073.jpg,0937
c002,000074.jpg,0900
c001,000075.jpg,0478
c001,000076.jpg,0881
c001,000077.jpg,0055
c001,000078.jpg,0056
c001,000079.jpg,0685
c002,000080.jpg,0001
c001,000081.jpg,0365
c003,000082.jpg,1015
c002,000083.jpg,0654
c003,000084.jpg,0100
c001,000085.jpg,1088
c001,000086.jpg,0550
c003,000087.jpg,0631
c002,000088.jpg,0325
c001,000089.jpg,0943
c001,000090.jpg,0683
c003,000091.jpg,1027
c001,000092.jpg,0347
c001,000093.jpg,0123
c002,000094.jpg,0107
c002,000095.jpg,0622
c001,000096.jpg,0965
c001,000097.jpg,0911
c002,000098.jpg,0433
c001,000099.jpg,0051
c003,000100.jpg,0906
c001,000101.jpg,0557
c002,000102.jpg,0038
c002,000103.jpg,0923
c001,000104.jpg,0440
c001,000105.jpg,0500
c003,000106.jpg,0785
c001,000107.jpg,0334
c001,000108.jpg,0984
c001,000109.jpg,0673
c003,000110.jpg,0478
c001,000111.jpg,0419
c001,000112.jpg,0852
c001,000113.jpg,0119
c002,000114.jpg,0671
c001,000115.jpg,0088
c003,000116.jpg,1016
c002,000117.jpg,0342
c003,000118.jpg,0301
c002,000119.jpg,0735
c003,000120.jpg,0727
c001,000121.jpg,0541
c003,000122.jpg,0742
c003,000123.jpg,0217
c002,000124.jpg,0561
c001,000125.jpg,1024
c003,000126.jpg,0043
c002,000127.jpg,0628
c002,000128.jpg,0384
c003,000129.jpg,0382
c001,000130.jpg,0002
c001,000131.jpg,0487
c002,000132.jpg,0398
c003,000133.jpg,0203
c002,000134.jpg,0090
c003,000135.jpg,0938
c001,000136.jpg,0442
c002,000137.jpg,0125
c002,000138.jpg,0715
c001,000139.jpg,0819
c001,000140.jpg,0523
c003,000141.jpg,0485
c002,000142.jpg,0618
c001,000143.jpg,0841
c001,000144.jpg,0719
c002,000145.jpg,0648
c001,000146.jpg,0105
c001,000147.jpg,0529
c002,000148.jpg,0564
c003,000149.jpg,1082
c001,000150.jpg,0921
c001,000151.jpg,0507
c002,000152.jpg,0825
c003,000153.jpg,0992
c002,000154.jpg,0096
c002,000155.jpg,0134
c002,000156.jpg,0267
c002,000157.jpg,0365
c002,000158.jpg,0526
c002,000159.jpg,0253
c001,000160.jpg,0689
c003,000161.jpg,0081
c002,000162.jpg,0389
c003,000163.jpg,0469
c001,000164.jpg,0027
c002,000165.jpg,0281
c003,000166.jpg,0699
c003,000167.jpg,0140
c003,000168.jpg,0521
c003,000169.jpg,0326
c003,000170.jpg,0234
c003,000171.jpg,0290
c002,000172.jpg,0968
c001,000173.jpg,0343
c001,000174.jpg,0034
c002,000175.jpg,0999
c002,000176.jpg,0199
c003,000177.jpg,0684
c003,000178.jpg,0493
c001,000179.jpg,0588
c001,000180.jpg,0378
c001,000181.jpg,0957
c001,000182.jpg,0640
c003,000183.jpg,0333
c001,000184.jpg,0286
c003,000185.jpg,0956
c001,000186.jpg,0034
c001,000187.jpg,0070
c003,000188.jpg,0186
c003,000189.jpg,0730
c003,000190.jpg,0240
c002,000191.jpg,0387
c001,000192.jpg,0422
c003,000193.jpg,0243
c003,000194.jpg,0789
c003,000195.jpg,0906
c001,000196.jpg,0923
c003,000197.jpg,1015
c003,000198.jpg,0847
c003,000199.jpg,0309
c002,000200.jpg,0284
c001,000201.jpg,0812
c002,000202.jpg,0740
c001,000203.jpg,0703
c001,000204.jpg,1035
c002,000205.jpg,0038
c002,000206.jpg,0731
c002,000207.jpg,0015
c003,000208.jpg,0557
c003,000209.jpg,0507
c003,000210.jpg,0869
c002,000211.jpg,0521
c001,000212.jpg,0552
c001,000213.jpg,0884
c001,000214.jpg,1036
c002,000215.jpg,0771
c001,000216.jpg,0304
c001,000217.jpg,0689
c003,000218.jpg,0026
c003,000219.jpg,0946
c003,000220.jpg,0604
c003,000221.jpg,0731
c003,000222.jpg,0366
c001,000223.jpg,0712
c003,000224.jpg,1061
c002,000225.jpg,0880
c002,000226.jpg,0834
c003,000227.jpg,0698
c001,000228.jpg,0786
c002,000229.jpg,0211
c001,000230.jpg,0778
c003,000231.jpg,0443
c002,000232.jpg,0085
c002,000233.jpg,0124
c002,000234.jpg,0910
c002,000235.jpg,0961
c003,000236.jpg,0138
c003,000237.jpg,0717
c003,000238.jpg,0977
c003,000239.jpg,0932
c003,000240.jpg,0213
c002,000241.jpg,0613
c003,000242.jpg,0208
c001,000243.jpg,0858
c003,000244.jpg,0078
c001,000245.jpg,0251
c003,000246.jpg,0371
c003,000247.jpg,0364
c002,000248.jpg,0001
c001,000249.jpg,0454
c001,000250.jpg,0152
c003,000251.jpg,0034
c002,000252.jpg,0431
c003,000253.jpg,0472
c001,000254.jpg,0184
c002,000255.jpg,0989
c003,000256.jpg,1073
c001,000257.jpg,0023
c002,000258.jpg,1090
c002,000259.jpg,0579
c001,000260.jpg,0562
c002,000261.jpg,0889
c003,000262.jpg,0220
c001,000263.jpg,0761
c001,000264.jpg,0642
c001,000265.jpg,0812
c003,000266.jpg,0655
c001,000267.jpg,0869
c001,000268.jpg,0577
c003,000269.jpg,0129
c003,000270.jpg,0097
c001,000271.jpg,0386
c003,000272.jpg,0589
c003,000273.jpg,0988
c002,000274.jpg,0804
c003,000275.jpg,0307
c003,000276.jpg,0853
c001,000277.jpg,0864
c003,000278.jpg,0841
c002,000279.jpg,0236
c001,000280.jpg,0226
c002,000281.jpg,0194
c001,000282.jpg,0861
c001,000283.jpg,0161
c001,000284.jpg,0654
c002,000285.jpg,1059
c001,000286.jpg,0511
c003,000287.jpg,0725
c001,000288.jpg,0118
c002,000289.jpg,0067
c002,000290.jpg,0315
c001,000291.jpg,0433
c002,000292.jpg,0756
c002,000293.jpg,0425
c001,000294.jpg,0318
c003,000295.jpg,0160
c002,000296.jpg,0931
c001,000297.jpg,0208
c001,000298.jpg,0384
c003,000299.jpg,0696
c002,000300.jpg,0980
c001,000301.jpg,0086
c002,000302.jpg,1090
c001,000303.jpg,0204
c003,000304.jpg,0849
c001,000305.jpg,0730
c001,000306.jpg,1049
c002,000307.jpg,0542
c002,000308.jpg,0290
c002,000309.jpg,0877
c003,000310.jpg,0181
c001,000311.jpg,0650
c002,000312.jpg,0572
c001,000313.jpg,0847
c002,000314.jpg,0302
c001,000315.jpg,0549
c001,000316.jpg,0849
c001,000317.jpg,0678
c002,000318.jpg,0386
c002,000319.jpg,0636
c001,000320.jpg,1081
c003,000321.jpg,0712
c001,000322.jpg,0754
c002,000323.jpg,0125
c002,000324.jpg,0986
c001,000325.jpg,0060
c002,000326.jpg,1048
c002,000327.jpg,0963
c002,000328.jpg,0062
c003,000329.jpg,0827
c002,000330.jpg,0675
c003,000331.jpg,0082
c003,000332.jpg,0085
c002,000333.jpg,0691
c001,000334.jpg,1055
c003,000335.jpg,0171
c001,000336.jpg,0653
c001,000337.jpg,0928
c003,000338.jpg,0600
c001,000339.jpg,0729
c003,000340.jpg,0587
c002,000341.jpg,0132
c001,000342.jpg,0756
c002,000343.jpg,0580
c001,000344.jpg,1051
c003,000345.jpg,0936
c001,000346.jpg,0011
c003,000347.jpg,1078
c001,000348.jpg,0659
c001,000349.jpg,0576
c003,000350.jpg,0270
c003,000351.jpg,0977
c003,000352.jpg,0078
c003,000353.jpg,0051
c003,000354.jpg,1090
c001,000355.jpg,0547
c002,000356.jpg,0747
c003,000357.jpg,0235
c001,000358.jpg,0023
c003,000359.jpg,0427
c003,000360.jpg,0564
c002,000361.jpg,0146
c001,000362.jpg,0948
c001,000363.jpg,0375
c002,000364.jpg,0970
c003,000365.jpg,0851
c002,000366.jpg,0834
c003,000367.jpg,0586
c001,000368.jpg,0301
c003,000369.jpg,0943
c003,000370.jpg,0566
c002,000371.jpg,0253
c002,000372.jpg,0386
c002,000373.jpg,0428
c002,000374.jpg,0177
c003,000375.jpg,1054
c001,000376.jpg,0934
c001,000377.jpg,0504
c002,000378.jpg,0135
c001,000379.jpg,0851
c001,000380.jpg,0312
c002,000381.jpg,0928
c002,000382.jpg,0600
c001,000383.jpg,0430
c003,000384.jpg,0844
c001,000385.jpg,1073
c003,000386.jpg,0118
c002,000387.jpg,1030
c002,000388.jpg,0434
c002,000389.jpg,0116
c001,000390.jpg,0797
c001,000391.jpg,0292
c002,000392.jpg,0553
c002,000393.jpg,0776
c003,000394.jpg,0664
c003,000395.jpg,0272
c002,000396.jpg,0749
c001,000397.jpg,0680
c002,000398.jpg,0322
c001,000399.jpg,0680
c002,000400.jpg,0672
c002,000401.jpg,0284
c003,000402.jpg,0892
c001,000403.jpg,0016
c003,000404.jpg,0457
c002,000405.jpg,0702
c003,000406.jpg,1014
c003,000407.jpg,1052
c001,000408.jpg,0996
c001,000409.jpg,0662
c001,000410.jpg,0014
c002,000411.jpg,0382
c003,000412.jpg,0949
c001,000413.jpg,1068
c003,000414.jpg,1087
c002,000415.jpg,0946
c003,000416.jpg,0291
c002,000417.jpg,0650
c001,000418.jpg,0676
c002,000419.jpg,0962
