cameraID,imageName,objectID,class_norm,source,img_path
c001,000001.jpg,uam_1,crosswalk,uam,UAMEXTERNAL/image_train/000001.jpg
c002,000002.jpg,uam_2,crosswalk,uam,UAMEXTERNAL/image_train/000002.jpg
c003,000004.jpg,uam_4,container,uam,UAMEXTERNAL/image_train/000004.jpg
c003,000005.jpg,uam_5,trafficsign,uam,UAMEXTERNAL/image_train/000005.jpg
c004,000006.jpg,uam_6,crosswalk,uam,UAMEXTERNAL/image_train/000006.jpg
c002,000007.jpg,uam_7,crosswalk,uam,UAMEXTERNAL/image_train/000007.jpg
c003,000008.jpg,uam_8,trafficsign,uam,UAMEXTERNAL/image_train/000008.jpg
c004,000009.jpg,uam_9,container,uam,UAMEXTERNAL/image_train/000009.jpg
c003,000010.jpg,uam_10,trafficsign,uam,UAMEXTERNAL/image_train/000010.jpg
c003,000011.jpg,uam_11,trafficsign,uam,UAMEXTERNAL/image_train/000011.jpg
c001,000012.jpg,uam_12,trafficsign,uam,UAMEXTERNAL/image_train/000012.jpg
c001,000013.jpg,uam_13,crosswalk,uam,UAMEXTERNAL/image_train/000013.jpg
c002,000014.jpg,uam_14,crosswalk,uam,UAMEXTERNAL/image_train/000014.jpg
c003,000015.jpg,uam_15,trafficsign,uam,UAMEXTERNAL/image_train/000015.jpg
c002,000016.jpg,uam_16,trafficsign,uam,UAMEXTERNAL/image_train/000016.jpg
c004,000017.jpg,uam_17,container,uam,UAMEXTERNAL/image_train/000017.jpg
c001,000018.jpg,uam_18,rubbishbin,uam,UAMEXTERNAL/image_train/000018.jpg
c002,000020.jpg,uam_20,trafficsign,uam,UAMEXTERNAL/image_train/000020.jpg
c002,000021.jpg,uam_21,trafficsign,uam,UAMEXTERNAL/image_train/000021.jpg
c003,000024.jpg,uam_23,container,uam,UAMEXTERNAL/image_train/000024.jpg
c002,000025.jpg,uam_24,trafficsign,uam,UAMEXTERNAL/image_train/000025.jpg
c001,000026.jpg,uam_25,crosswalk,uam,UAMEXTERNAL/image_train/000026.jpg
c001,000027.jpg,uam_26,trafficsign,uam,UAMEXTERNAL/image_train/000027.jpg
c002,000028.jpg,uam_27,container,uam,UAMEXTERNAL/image_train/000028.jpg
c001,000029.jpg,uam_28,crosswalk,uam,UAMEXTERNAL/image_train/000029.jpg
c003,000030.jpg,uam_29,trafficsign,uam,UAMEXTERNAL/image_train/000030.jpg
c003,000031.jpg,uam_30,trafficsign,uam,UAMEXTERNAL/image_train/000031.jpg
c003,000032.jpg,uam_31,crosswalk,uam,UAMEXTERNAL/image_train/000032.jpg
c004,000033.jpg,uam_32,container,uam,UAMEXTERNAL/image_train/000033.jpg
c003,000034.jpg,uam_33,trafficsign,uam,UAMEXTERNAL/image_train/000034.jpg
c001,000035.jpg,uam_34,trafficsign,uam,UAMEXTERNAL/image_train/000035.jpg
c003,000036.jpg,uam_35,trafficsign,uam,UAMEXTERNAL/image_train/000036.jpg
c001,000037.jpg,uam_36,rubbishbin,uam,UAMEXTERNAL/image_train/000037.jpg
c003,000039.jpg,uam_37,trafficsign,uam,UAMEXTERNAL/image_train/000039.jpg
c002,000040.jpg,uam_36,rubbishbin,uam,UAMEXTERNAL/image_train/000040.jpg
c002,000041.jpg,uam_38,rubbishbin,uam,UAMEXTERNAL/image_train/000041.jpg
c003,000042.jpg,uam_39,trafficsign,uam,UAMEXTERNAL/image_train/000042.jpg
c001,000044.jpg,uam_40,container,uam,UAMEXTERNAL/image_train/000044.jpg
c002,000045.jpg,uam_41,container,uam,UAMEXTERNAL/image_train/000045.jpg
c003,000046.jpg,uam_41,container,uam,UAMEXTERNAL/image_train/000046.jpg
c003,000047.jpg,uam_42,container,uam,UAMEXTERNAL/image_train/000047.jpg
c004,000048.jpg,uam_43,container,uam,UAMEXTERNAL/image_train/000048.jpg
c003,000049.jpg,uam_44,trafficsign,uam,UAMEXTERNAL/image_train/000049.jpg
c003,000050.jpg,uam_45,trafficsign,uam,UAMEXTERNAL/image_train/000050.jpg
c003,000051.jpg,uam_6,crosswalk,uam,UAMEXTERNAL/image_train/000051.jpg
c002,000053.jpg,uam_31,crosswalk,uam,UAMEXTERNAL/image_train/000053.jpg
c002,000054.jpg,uam_47,trafficsign,uam,UAMEXTERNAL/image_train/000054.jpg
c003,000055.jpg,uam_48,trafficsign,uam,UAMEXTERNAL/image_train/000055.jpg
c003,000056.jpg,uam_49,trafficsign,uam,UAMEXTERNAL/image_train/000056.jpg
c003,000059.jpg,uam_51,trafficsign,uam,UAMEXTERNAL/image_train/000059.jpg
c001,000060.jpg,uam_26,trafficsign,uam,UAMEXTERNAL/image_train/000060.jpg
c003,000061.jpg,uam_52,rubbishbin,uam,UAMEXTERNAL/image_train/000061.jpg
c004,000062.jpg,uam_53,crosswalk,uam,UAMEXTERNAL/image_train/000062.jpg
c003,000063.jpg,uam_54,trafficsign,uam,UAMEXTERNAL/image_train/000063.jpg
c003,000064.jpg,uam_55,container,uam,UAMEXTERNAL/image_train/000064.jpg
c003,000065.jpg,uam_56,crosswalk,uam,UAMEXTERNAL/image_train/000065.jpg
c001,000066.jpg,uam_57,rubbishbin,uam,UAMEXTERNAL/image_train/000066.jpg
c003,000067.jpg,uam_55,container,uam,UAMEXTERNAL/image_train/000067.jpg
c001,000068.jpg,uam_58,trafficsign,uam,UAMEXTERNAL/image_train/000068.jpg
c003,000069.jpg,uam_59,trafficsign,uam,UAMEXTERNAL/image_train/000069.jpg
c003,000070.jpg,uam_60,crosswalk,uam,UAMEXTERNAL/image_train/000070.jpg
c004,000071.jpg,uam_61,container,uam,UAMEXTERNAL/image_train/000071.jpg
c001,000072.jpg,uam_62,trafficsign,uam,UAMEXTERNAL/image_train/000072.jpg
c003,000073.jpg,uam_63,trafficsign,uam,UAMEXTERNAL/image_train/000073.jpg
c002,000074.jpg,uam_64,trafficsign,uam,UAMEXTERNAL/image_train/000074.jpg
c003,000075.jpg,uam_65,trafficsign,uam,UAMEXTERNAL/image_train/000075.jpg
c003,000076.jpg,uam_66,trafficsign,uam,UAMEXTERNAL/image_train/000076.jpg
c003,000077.jpg,uam_67,trafficsign,uam,UAMEXTERNAL/image_train/000077.jpg
c002,000078.jpg,uam_68,container,uam,UAMEXTERNAL/image_train/000078.jpg
c003,000079.jpg,uam_69,trafficsign,uam,UAMEXTERNAL/image_train/000079.jpg
c004,000080.jpg,uam_55,container,uam,UAMEXTERNAL/image_train/000080.jpg
c004,000081.jpg,uam_70,container,uam,UAMEXTERNAL/image_train/000081.jpg
c003,000082.jpg,uam_5,trafficsign,uam,UAMEXTERNAL/image_train/000082.jpg
c002,000083.jpg,uam_27,container,uam,UAMEXTERNAL/image_train/000083.jpg
c003,000084.jpg,uam_71,crosswalk,uam,UAMEXTERNAL/image_train/000084.jpg
c004,000085.jpg,uam_70,container,uam,UAMEXTERNAL/image_train/000085.jpg
c003,000086.jpg,uam_24,trafficsign,uam,UAMEXTERNAL/image_train/000086.jpg
c002,000087.jpg,uam_72,container,uam,UAMEXTERNAL/image_train/000087.jpg
c003,000088.jpg,uam_27,container,uam,UAMEXTERNAL/image_train/000088.jpg
c002,000089.jpg,uam_73,trafficsign,uam,UAMEXTERNAL/image_train/000089.jpg
c003,000090.jpg,uam_70,container,uam,UAMEXTERNAL/image_train/000090.jpg
c003,000091.jpg,uam_62,trafficsign,uam,UAMEXTERNAL/image_train/000091.jpg
c001,000092.jpg,uam_24,trafficsign,uam,UAMEXTERNAL/image_train/000092.jpg
c003,000093.jpg,uam_74,trafficsign,uam,UAMEXTERNAL/image_train/000093.jpg
c003,000094.jpg,uam_75,trafficsign,uam,UAMEXTERNAL/image_train/000094.jpg
c001,000095.jpg,uam_76,container,uam,UAMEXTERNAL/image_train/000095.jpg
c003,000096.jpg,uam_77,trafficsign,uam,UAMEXTERNAL/image_train/000096.jpg
c001,000097.jpg,uam_78,crosswalk,uam,UAMEXTERNAL/image_train/000097.jpg
c003,000098.jpg,uam_21,trafficsign,uam,UAMEXTERNAL/image_train/000098.jpg
c003,000099.jpg,uam_66,trafficsign,uam,UAMEXTERNAL/image_train/000099.jpg
c003,000100.jpg,uam_49,trafficsign,uam,UAMEXTERNAL/image_train/000100.jpg
c002,000101.jpg,uam_79,crosswalk,uam,UAMEXTERNAL/image_train/000101.jpg
c001,000102.jpg,uam_80,trafficsign,uam,UAMEXTERNAL/image_train/000102.jpg
c001,000103.jpg,uam_64,trafficsign,uam,UAMEXTERNAL/image_train/000103.jpg
c004,000104.jpg,uam_81,crosswalk,uam,UAMEXTERNAL/image_train/000104.jpg
c004,000105.jpg,uam_82,container,uam,UAMEXTERNAL/image_train/000105.jpg
c001,000106.jpg,uam_83,trafficsign,uam,UAMEXTERNAL/image_train/000106.jpg
c001,000107.jpg,uam_84,crosswalk,uam,UAMEXTERNAL/image_train/000107.jpg
c003,000108.jpg,uam_85,container,uam,UAMEXTERNAL/image_train/000108.jpg
c003,000109.jpg,uam_86,trafficsign,uam,UAMEXTERNAL/image_train/000109.jpg
c002,000110.jpg,uam_87,crosswalk,uam,UAMEXTERNAL/image_train/000110.jpg
c003,000111.jpg,uam_88,trafficsign,uam,UAMEXTERNAL/image_train/000111.jpg
c001,000112.jpg,uam_89,trafficsign,uam,UAMEXTERNAL/image_train/000112.jpg
c003,000113.jpg,uam_90,trafficsign,uam,UAMEXTERNAL/image_train/000113.jpg
c003,000114.jpg,uam_91,trafficsign,uam,UAMEXTERNAL/image_train/000114.jpg
c004,000115.jpg,uam_14,crosswalk,uam,UAMEXTERNAL/image_train/000115.jpg
c003,000116.jpg,uam_92,trafficsign,uam,UAMEXTERNAL/image_train/000116.jpg
c001,000117.jpg,uam_93,crosswalk,uam,UAMEXTERNAL/image_train/000117.jpg
